Acc#,Symbol,B sig,E sig,FC
FBgn0003447,sn,479,269,-1.78
FBgn0024994,Csat,1756,985,-1.78
FBgn0035909,CG6822,1373,771,-1.78
FBgn0002741,Mhc,798,450,-1.78
FBgn0000083,AnnIX,439,248,-1.77
FBgn0032643,CG6453,817,462,-1.77
FBgn0038610,CG7675,4039,2288,-1.77
FBgn0030043,CG15349,968,550,-1.76
FBgn0028683,spt4,98,56,-1.76
FBgn0025865,Cortactin,370,211,-1.75
FBgn0000317,ck,373,214,-1.75
FBgn0037925,CG17309,231,133,-1.74
FBgn0031897,CG13784,363,209,-1.74
FBgn0037269,CG31534,183,106,-1.73
FBgn0035904,CG6776,731,422,-1.73
FBgn0015933,didum,363,209,-1.73
FBgn0002926,ndl,2471,1434,-1.72
FBgn0025549,unc-119,154,90,-1.72
FBgn0015286,Rala,273,159,-1.72
FBgn0033630,CG13200,702,409,-1.72
FBgn0024211,mfas,6004,3507,-1.71
FBgn0033844,CG6016,542,317,-1.71
FBgn0003205,Ras85D,974,571,-1.71
FBgn0038407,CG6126,653,383,-1.7
FBgn0010348,Arf79F,1469,865,-1.7
FBgn0005638,slbo,213,126,-1.7
FBgn0027108,inx2,1625,958,-1.7
FBgn0035499,Chd64,1972,1164,-1.69
FBgn0034583,CG10527,2459,1452,-1.69
FBgn0039637,CG11880,375,222,-1.69
FBgn0013770,Cp1,5933,3519,-1.69
FBgn0038256,CG7530,383,227,-1.69
FBgn0000711,flw,410,243,-1.68
FBgn0013750,Arf51F,302,180,-1.68
FBgn0020294,ko,67,40,-1.68
FBgn0039567,CG4869,1381,823,-1.68
FBgn0039433,CG5467,218,130,-1.68
FBgn0010288,Uch,916,546,-1.68
FBgn0033764,CG8776,829,497,-1.67
FBgn0020626,Osbp,1071,642,-1.67
FBgn0039562,Gp93,5031,3017,-1.67
FBgn0004687,Mlc-c,1082,650,-1.66
FBgn0031285,CG3662,1593,958,-1.66
FBgn0000448,Hr46,173,104,-1.66
FBgn0036099,CG11811,274,166,-1.66
FBgn0035165,CG13887,1642,992,-1.65
FBgn0031992,CG8498,740,449,-1.65
FBgn0027582,CG6230,438,266,-1.65
FBgn0034501,CG13868,486,295,-1.65
FBgn0037235,CG1103,268,163,-1.64
FBgn0037468,CG1943,380,231,-1.64
FBgn0037843,CG4511,573,350,-1.64
FBgn0027095,ARP-like,2801,1717,-1.63
FBgn0004646,ogre,6206,3807,-1.63
FBgn0034718,wdp,367,225,-1.63
FBgn0030930,CG6394,492,302,-1.63
FBgn0034091,CG8448,322,198,-1.63
FBgn0001941,ifc,462,285,-1.62
FBgn0036372,CG10083,198,122,-1.62
FBgn0032995,CG17484,270,168,-1.61
FBgn0015924,crq,94,58,-1.61
FBgn0031174,CG1486,961,596,-1.61
FBgn0016930,smi35A,110,68,-1.61
FBgn0001257,ImpL2,3664,2278,-1.61
FBgn0032398,CG6766,543,338,-1.61
FBgn0027573,sda,180,112,-1.61
FBgn0002968,Nrg,552,343,-1.61
FBgn0035680,CG10733,1287,802,-1.6
FBgn0004603,Src42A,179,112,-1.6
FBgn0037919,CG31363,905,565,-1.6
FBgn0003089,pip,84,53,-1.59
FBgn0036454,CG17839,326,206,-1.59
FBgn0010215,Cat,413,261,-1.59
FBgn0037303,CG12163,2053,1296,-1.58
FBgn0037012,CG4786,376,237,-1.58
FBgn0004368,Ptp4E,245,155,-1.58
FBgn0003471,Spec2,1195,756,-1.58
FBgn0033996,CG11807,194,123,-1.58
FBgn0036533,CG6151,325,206,-1.58
FBgn0027842,CPTI,640,406,-1.58
FBgn0025725,aCop,1528,973,-1.57
FBgn0011236,ken,401,257,-1.56
FBgn0015954,kuz,227,146,-1.56
FBgn0038863,CG5802,2538,1628,-1.56
FBgn0039176,CG13610,813,522,-1.56
FBgn0037112,CG12562,1200,776,-1.55
FBgn0032300,CG18499,678,439,-1.54
FBgn0028399,TMS1,389,253,-1.54
FBgn0035028,CG3522,457,296,-1.54
FBgn0031990,CG8552,632,411,-1.54
FBgn0030306,CG1751,3340,2183,-1.53
FBgn0008635,ßCop,1822,1192,-1.53
FBgn0034306,CG5738,398,261,-1.52
FBgn0023185,NUCB1,1490,982,-1.52
FBgn0010229,Hr39,102,67,-1.52
FBgn0035133,Ptpmeg,315,208,-1.51
FBgn0021748,Akap550,395,261,-1.51
FBgn0033460,CG1472,364,241,-1.51
FBgn0035763,CG8602,1151,764,-1.51
FBgn0033468,CG1418,463,307,-1.51
FBgn0031756,CG13992,2834,1884,-1.5
FBgn0033691,CG8860,7170,4771,-1.5
FBgn0030808,RhoGAP15B,532,354,-1.5
FBgn0029876,CG3960,215,143,-1.5
FBgn0039262,CG11785,3095,2064,-1.5
FBgn0039244,CG11069,477,319,-1.5
FBgn0000183,BicD,373,249,-1.5
FBgn0037108,CG11306,487,326,-1.49
FBgn0032743,CG10449,719,482,-1.49
FBgn0028486,CG2967,179,120,-1.49
FBgn0011206,bol,401,269,-1.49
FBgn0038982,CG33099,1403,943,-1.49
FBgn0038972,CG7054,426,287,-1.48
FBgn0000360,Cp38,7587,5110,-1.48
FBgn0000045,Act79B,830,560,-1.48
FBgn0023508,CG3573,294,198,-1.48
FBgn0004868,Gdi,1879,1271,-1.48
FBgn0027660,blot,139,95,-1.47
FBgn0010470,Fkbp13,433,296,-1.46
FBgn0036168,CG7512,352,240,-1.46
FBgn0030596,CG12398,2037,1392,-1.46
FBgn0034613,CG30392,505,345,-1.46
FBgn0000043,Act42A,4794,3287,-1.46
FBgn0030521,CG10992,6944,4771,-1.46
FBgn0037733,unc-115,617,425,-1.45
FBgn0013733,shot,208,144,-1.45
FBgn0029709,CG3564,1400,969,-1.44
FBgn0033383,CG8057,719,499,-1.44
FBgn0037440,CG1041,513,356,-1.44
FBgn0033814,CG4670,1657,1152,-1.44
FBgn0036640,nxf2,508,353,-1.44
FBgn0030059,CG1787,668,466,-1.44
FBgn0025879,Timp,674,471,-1.43
FBgn0033377,Pmm45A,410,287,-1.43
FBgn0035321,CG1275,588,412,-1.43
FBgn0031673,CG9112,488,342,-1.43
FBgn0040623,CG11500,2986,2097,-1.42
FBgn0029545,CG11642,2467,1733,-1.42
FBgn0014029,2-Sep,615,433,-1.42
FBgn0039187,CG6454,103,73,-1.41
FBgn0014075,Ugt,501,355,-1.41
FBgn0028540,CG9008,290,206,-1.41
FBgn0024814,Clc,1350,956,-1.41
FBgn0036489,CG7011,1230,873,-1.41
FBgn0000117,arm,1542,1096,-1.41
FBgn0011570,cpb,1078,768,-1.4
FBgn0039172,CG5677,2452,1748,-1.4
FBgn0034220,CG6530,351,250,-1.4
FBgn0015622,Cnx99A,2382,1705,-1.4
FBgn0011591,fng,658,471,-1.4
FBgn0021979,l(2)k09913,815,584,-1.4
FBgn0028505,CaBP1,1773,1271,-1.39
FBgn0013576,l(3)82Fd,214,154,-1.39
FBgn0036929,CG7668,382,275,-1.39
FBgn0032956,cul-2,138,100,-1.39
FBgn0020278,loco,417,301,-1.39
FBgn0000667,Actn,1068,771,-1.38
FBgn0031755,CG9050,13741,9925,-1.38
FBgn0025724,ß'Cop,1396,1012,-1.38
FBgn0031985,CG8683,166,120,-1.38
FBgn0033434,CG1902,635,461,-1.38
FBgn0011225,jar,458,333,-1.38
FBgn0035375,CG2103,1018,742,-1.37
FBgn0034212,CG6564,321,234,-1.37
FBgn0000359,Cp36,11553,8444,-1.37
FBgn0035328,yellow-g2,1292,945,-1.37
FBgn0014868,Ost48,2995,2193,-1.37
FBgn0035868,CG7194,481,353,-1.36
FBgn0015565,yin,347,255,-1.36
FBgn0035206,CG9186,2073,1525,-1.36
FBgn0032159,CG5885,5942,4376,-1.36
FBgn0030245,CG1637,3352,2482,-1.35
FBgn0032762,CG10685,1039,770,-1.35
FBgn0038438,CG14899,390,289,-1.35
FBgn0032899,CG9338,494,368,-1.34
FBgn0028967,26-29kDproteinase,,,
FBgn0039886,CG2003,844,629,-1.34
FBgn0015797,Rab6,413,309,-1.34
FBgn0003996,w,458,344,-1.33
FBgn0031049,CG14214,4552,3434,-1.33
FBgn0015776,Nrv1,1443,1089,-1.32
FBgn0041005,CG13303,526,398,-1.32
FBgn0030123,CG12132,132,100,-1.32
FBgn0038829,CG17271,406,309,-1.32
FBgn0010638,Sec61ß,9535,7253,-1.31
FBgn0000042,Act5C,8341,6345,-1.31
FBgn0004396,CrebA,921,702,-1.31
FBgn0032586,Tpr2,510,389,-1.31
FBgn0037537,CG2767,935,713,-1.31
FBgn0039213,CG6668,1260,965,-1.31
FBgn0000084,AnnX,921,705,-1.31
FBgn0014002,Pdi,5302,4067,-1.3
FBgn0031842,CG11098,695,535,-1.3
FBgn0027597,CG17712,237,183,-1.29
FBgn0015278,Pi3K68D,60,47,-1.29
FBgn0030025,CG2147,294,229,-1.29
FBgn0034451,CG11242,309,240,-1.28
FBgn0034061,CG8386,1877,1466,-1.28
FBgn0038369,CG4560,736,576,-1.28
FBgn0028894,CG5869,239,187,-1.27
FBgn0037049,loner,638,501,-1.27
FBgn0000319,Chc,1142,898,-1.27
