target_id,GPCRS in Aging::Genotype,reg. value
ZK813.5,WBGene00022824,-4.05610027162817
B0244.5,WBGene00015080,-2.99400751782367
R07D5.2,WBGene00011101,-1.71327927555753
C24A8.6,WBGene00044004,-1.3704601619580201
ZC266.1,WBGene00022584,0.816765431725862
C25E10.3a,WBGene00016093,1.27059293142166
F40A3.7,WBGene00018222,1.27103085154904
