target_id,Unnamed: 0,pval,qval,b,se_b,mean,var,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene
F40H3.4b,1042,1.48119218883646e-07,3.0054555132983997e-06,4.36965291974737,0.8315415503462371,2.8057480998820097,3.59691944579682,0.556761919013667,0.480430105914668,0.247189693050265,0.480430105914668,WBGene00001440,fkh-8
B0238.13,1539,4.29174414258322e-06,5.89605889581787e-05,4.39403130865765,0.9559038453624991,2.4298571794521298,4.47688010592188,0.20580997495999698,1.16481826740822,0.333708930651846,1.16481826740822,WBGene00015077,B0238.13
F07A11.6c,6136,0.0262824355872782,0.0905621798601405,4.39954290483404,1.97998083474025,3.7941506483357696,7.50737776057228,2.1492675022073002,3.73121865670075,0.11653106731356301,3.73121865670075,WBGene00008549,din-1
C01G6.1a.3,2241,9.84043428167519e-05,0.0009284083088686241,4.40040082633707,1.12990339247985,5.17666309255576,4.570076115377599,0.900901343199807,1.0141211713064,0.0469366132663284,1.0141211713064,WBGene00000170,aqp-2
F49E11.6,696,2.67288040592626e-09,8.119642302083191e-08,4.41817547836168,0.74248531573331,4.13148803824151,3.96971259850398,0.10819234600651101,0.7187343201128801,0.0922827198612654,0.7187343201128801,WBGene00009892,scl-11
F13A2.2,537,8.32828258809058e-11,3.2790480216014804e-09,4.455465386942691,0.686031588208251,1.88093592403642,3.60206711593543,0.185347133850119,0.326427806891253,0.520611876179185,0.520611876179185,WBGene00017411,F13A2.2
ZC123.3b,4976,0.01044910291987,0.0443981879089252,4.477842664035741,1.74874616211496,2.14502878397915,6.485442936031769,2.02941717158941,2.55775253767828,0.42006586482434205,2.55775253767828,WBGene00022518,zfh-2
F56H11.1c,164,3.06528897922618e-19,3.95179298096214e-17,4.47993817673799,0.49963952417054297,3.36412565815746,3.48553460121163,0.21497519852953698,0.0704359896607898,0.15948428264051198,0.15948428264051198,WBGene00001403,fbl-1
F29C4.8c,2663,0.000305170866279615,0.00242291687035295,4.49131617145029,1.2438319267670301,2.2485350981632797,4.645862000629309,1.93440198682745,-0.8018131064944971,0.386274806240025,0.386274806240025,WBGene00000674,col-99
F54C1.5a,1922,2.81537443440109e-05,0.00030970583593414197,4.50509192345386,1.0757380043907199,1.6399508210896299,3.42257544766078,1.1024849448871799,-0.39252322371160997,0.633333436248607,0.633333436248607,WBGene00001117,dyf-1
C06H5.14,265,3.64033173175783e-15,2.90443523790777e-13,4.506543778568349,0.572861173497491,2.18660094705447,6.3688140195574405,0.0861117518827356,0.16606882088552202,0.40614313426864795,0.40614313426864795,WBGene00219447,C06H5.14
F35G2.1b.1,2535,0.00022425807131420497,0.00187040962595512,4.5144609822321105,1.22343267219206,5.61617577314779,5.398349980975139,1.24416732522412,1.00101392985638,0.0350559978406995,1.00101392985638,WBGene00009435,F35G2.1
C15H9.11.2,4575,0.007105262168739091,0.0328307474965446,4.5218475058640495,1.67981640965721,2.41705311243561,6.375689413411321,0.26254003865131303,3.9701347165791603,0.337162936949235,3.9701347165791603,WBGene00015805,C15H9.11
M01A10.2d,2900,0.000531670383308078,0.00387624376354575,4.52199406171781,1.30532337622396,2.35352951857572,5.655552821858819,1.9965592850328502,0.559244389742208,0.354861059583678,0.559244389742208,WBGene00006594,tom-1
C01G6.1b.2,984,8.64459133164876e-08,1.8574450663114798e-06,4.55022332139307,0.8500118076277401,3.0518097063530396,3.84110170543829,0.654390994865708,0.42938911479416,0.203542470727573,0.42938911479416,WBGene00000170,aqp-2
T07H8.5,422,6.086767416797559e-12,3.04958586477135e-10,4.5564661996777005,0.662507806144924,2.3886944467474303,4.0956351782400295,0.205468667108349,0.45290622269609204,0.344946855396132,0.45290622269609204,WBGene00005188,srg-31
D1046.1e.3,3274,0.0011674011057652301,0.00753890090995551,4.602959293313781,1.4177227105373502,1.93344244110773,4.6839356805265195,2.5160600085547205,-1.57289889775611,0.49884651740534797,0.49884651740534797,WBGene00008362,cfim-2
T04C12.3.1,2813,0.00043843704663912997,0.0032953695261610802,4.60314710814456,1.30927578562256,1.48953635763085,4.7768072385021,1.85569438452153,-1.3720986057224198,0.715610239704843,0.715610239704843,WBGene00011428,T04C12.3
F54B11.3b,1862,2.29582303513286e-05,0.00026069058234057,4.60422927733182,1.08744482097142,2.59206119552143,4.33947857157161,1.4807811867060399,-0.9596798548372639,0.293023171280305,0.293023171280305,WBGene00006816,unc-84
ZK355.8,877,2.6024918560337e-08,6.27417164334327e-07,4.62044153672167,0.830078516143715,3.6259944188956403,5.638581234852309,0.0923938684036382,0.94115164604139,0.131319339435309,0.94115164604139,WBGene00086560,ZK355.8
Y2H9A.6b,1974,3.44252333033594e-05,0.00036871971009773397,4.63373338401609,1.11871198998187,2.1739047011861,4.64010662425242,1.46693053306686,0.0050562894553603,0.410344241726917,0.410344241726917,WBGene00086568,Y2H9A.6
K04A8.8,953,6.08773135114341e-08,1.35060759661307e-06,4.686785526987519,0.8653264715053991,3.2398356636285,7.65684137106341,0.14988350496916902,0.973301348462808,0.17564319300745598,0.973301348462808,WBGene00005005,spp-20
F08A8.1b.3,2798,0.00042573176995689397,0.0032170288821296,4.7135411850920805,1.3377073574228702,1.6569165826484702,6.07579980487818,2.0595317181641697,-1.98964130341071,0.62465974299074,0.62465974299074,WBGene00008564,acox-1
T16H12.11.2,2189,8.00842425643245e-05,0.000773513540674972,4.79294995531697,1.21520545017175,2.4979452030124905,5.699820136750259,1.8914838685025803,0.323602560688096,0.31595365022198496,0.323602560688096,WBGene00011819,hal-2
