target_id,neuropeptide genes in Aging::Genotype,reg. value
ZC334.2,WBGene00002113,-3.10148785169398
ZK75.2,WBGene00002085,-3.0964412576485003
Y116F11B.1,WBGene00000920,-2.48605586145784
K04H4.7,WBGene00010575,-2.41765567258917
ZK525.1,WBGene00001458,-1.61540458730618
F45E4.8.1,WBGene00003758,-1.3223180648541102
C03G5.7.2,WBGene00001448,-1.29581391129059
F15D4.8,WBGene00001459,-1.0438555566341
F37A8.4,WBGene00003748,-0.996980834742887
D1009.4a,WBGene00003752,-0.9265440113079259
