target_id,GPCRS in Genotype,reg. value
R11F4.2b,WBGene00020008,-2.73041173685521
F55E10.7,WBGene00018886,-1.08309527707607
T07D4.1,WBGene00011578,-1.08244123894033
R07D5.2,WBGene00011101,0.923946610395423
B0244.5,WBGene00015080,1.7386819385402301
F59C12.2a,WBGene00004776,3.91583169121737
