gene
AC3.7
B0213.12
B0213.15*
B0218.8
B0238.1
B0244.2
B0286.3
C02A12.4*
C05C12.4**
C05D9.1
C05E4.9*
C06B3.4
C08A9.1
C08B6.4
C08E3.4**
C08E3.6**
C08E8.4
C08F11.11
C08F11.3
C09G12.8a
C10H11.2
C13B9.1
C15H9.1
C17G1.4*
C17G10.5
C18A11.1
C18D4.8
C24B9.9
C25E10.8
C25E10.9
C26C6.3*
C27H5.2
C30G7.1
C32B5.3
C34C6.7*
C34D10.2**
C37H5.2
C40H1.5*
C40H5.1
C44E12.2
C44H9.5
C45B11.3
C45G7.3
C46F4.2
C46H11.2*
C50F7.10*
C50F7.2
C50F7.5
C52D10.1
C52D10.2
C52E4.1
C53B7.3
C54C8.9*
C54D10.1
C54D10.3
C54D10.7*
C55C3.4
C56A3.2*
CC8.2
D1025.4
D1086.3
E01A2.8
E01G4.3
F02H6.5
F08B1.1
F08B12.4*
F09B12.3
F09F7.6*
F09F7.7*
F10D2.11
F10D2.9
F11A5.12
F12A10.7
F13D11.4
F13H8.5
F15A2.2
F15A4.8
F15B9.1
F15E6.4
F15E6.8
F16D3.5
F16H6.7
F17A9.5
F17B5.1*
F18E3.7
F19H8.1
F21C10.10*
F21F3.3
F21F3.5
F23B2.5
F26D11.2
F28A12.4
F28D1.3
F28D1.5
F28F8.2*
F31F4.7
F32A5.4**
F32A5.5*
F35C5.5b
F35D11.11**
F36D3.9
F36F2.2
F38A1.5
F38B6.4
F38E11.1*
F38E11.2*
F40D4.3**
F40F12.1
F41B5.4
F42F12.6
F42F12.7
F43H9.4
F45D3.4
F45E6.5
F46C5.1*
F46H5.7
F47B8.4
F47C12.3
F47H4.10*
F48D6.4*
F49A5.6
F49E11.9
F52A8.2**
F52E4.5
F52H3.5
F52H3.7
F53A9.1*
F53C3.12
F53C3.5**
F53C3.5**
F53F4.13
F53G12.6**
F54D5.3*
F54F7.3
F56D5.7
F57B1.7
F57H12.7
F59F4.4
H10D18.2
H10D18.3
H12D21.1
H14N18.1
H16D19.1*
H22K11.1
H24O09.a*
H24O09.c
H24O09.e*
H24O09.f*
JC8.8
K01A2.2
K01A6.2**
K02E11.5
K03C7.2**
K04A8.5
K07A1.7
K07B1.4
K07C6.3
K07C6.4*
K07E3.3
K07E3.8
K08B4.6
K08F4.7
K09C4.5
K10B3.8
K11D2.2
K11G9.6*
K12G11.3*
K12G11.4
M01H9.3
M02D8.4
M04G12.2
M60.3
M7.9
PDB1.1**
R03E9.1
R05F9.13**
R09B5.6*
R11A5.4*
R12A1.4
R12B2.5
R13F6.2**
R13H4.5
T01B11.2
T02B5.1*
T04H1.2
T06E6.5
T07D10.4*
T07H3.3
T10B9.1
T10H4.11
T13B5.3
T17H7.1
T19B10.2
T20G5.7*
T20G5.8
T21C9.8
T21D12.9a
T22F3.11*
T22G5.7
T23B3.2
T23G7.3
T23H2.2**
T24E12.5
T24F1.5**
T25C12.2
T26F2.1
T27E4.8
T28B8.2**
T28C6.8
T28D9.3
T28F4.5*
VC5.3
VC5.3
VZK822l.1
W01B11.6**
W02D3.1*
W03D2.6
W03F11.3**
W05H9.1
W06D12.3
W06D4.1
W07E6.6
W08D2.4*
W10G6.3
Y105C5A.12*
Y15E3B.f
Y32H12A.8
Y39G8B.7
Y40B10A.2
Y40B10A.6
Y40B10A.6
Y43C5A.3**
Y43C5B.2
Y43F8A.3
Y46C8_99.a*
Y46C8AR.1
Y46H3A.3
Y51A2B.1
Y51A2D.11**
Y51B9A.8
Y51B9A.8
Y53G8B.1
Y54G11A.5b
Y54G11A.6
Y56A3A.33
Y57G11C.14*
Y67A6A.2**
Y6E2A.3
Y71G12B.4
ZC247.1
ZC395.5
ZC410.5
ZC47.9
ZK1320.2
ZK270.2a
ZK355.3*
ZK384.1
ZK384.2
ZK384.3
ZK54.2
ZK550.6
ZK973.5
ZK973.7
