#0hr_muscle_enriched_
,Tissue,Expected,Observed,Fold Change,Q value
0,smooth muscle(WBbt:0005781),27.643380170195925,77.0,2.785477012070274,1.0519557556378716e-16
1,anal sphincter muscle(WBbt:0005798),8.450227587571739,42.0,4.9702803344340625,1.891664515887931e-18
2,vulval muscle(WBbt:0005821),42.77518305956857,123.0,2.8754990908796496,6.090320004199007e-30
3,diagonal muscle(WBbt:0005815),1.6376410053433603,11.0,6.716978851963747,7.505190813181935e-07
4,uterine muscle(WBbt:0005342),8.646744508212942,29.0,3.3538634074887854,5.536079656657242e-08
5,pharyngeal muscle cell(WBbt:0005451),24.957648921432813,47.0,1.8831902054539253,0.00025572831947350016
6,muscle of the reproductive system(WBbt:0005786),15.459331090441323,35.0,2.2640048133544983,5.921246212327446e-05
7,body wall musculature(WBbt:0005813),81.42351078567188,230.0,2.824736955956377,9.640389893870184e-70
8,head muscle(WBbt:0006761),11.594498317830991,23.0,1.9836994555106082,0.02200022693157574
9,body muscle cell(WBbt:0007810),62.03384128240649,145.0,2.3374338426004204,4.379191434369556e-26
10,anal depressor muscle(WBbt:0004292),28.232930932119533,87.0,3.0815079103609255,2.791648676137527e-22
11,muscular system(WBbt:0005737),121.11992875519493,258.0,2.1301201433288837,3.0759173366941148e-55
12,non-striated muscle(WBbt:0005780),82.01306154759548,167.0,2.036261015607656,5.711990958730872e-24
13,hermaphrodite-specific(WBbt:0005758),124.13318820502673,179.0,1.4419995376607226,6.151516707984149e-09
