Accession,Unigene,Gene,Ratio,ttest
AI384843,100000981,5-ht2cr,1.107922,5.86E-04
NM_001005596,449554,a2bp1,0.827836,3.44E-03
NM_200704,393677,aanat1,0.878277,4.87E-04
AF124756,30685,aanat2,0.820184,3.30E-04
NM_001044310,324940,aars,0.654227,3.21E-04
AW076835,558335,abca12,5.447015,2.25E-10
AW116748,565913,abca5,1.756228,7.31E-07
NM_001007038,368620,abcc4,0.590693,1.22E-03
NM_200914,393888,abhd2a,1.300348,1.88E-06
NM_001079677,559290,abhd2b,2.638066,3.94E-06
NM_001017613,550276,abhd4,1.045681,4.71E-06
AI878796,393711,abi1a,0.6721,3.48E-05
NM_001003743,445288,acads,0.75731,1.89E-02
AI884210,573723,acadvl,0.83604,5.70E-04
NM_001020647,553674,acbd5a,0.634341,3.91E-03
BI892068,550266,acer1,2.56478,1.09E-07
NM_001007105,368893,acin1a,0.708909,3.20E-03
BC045312,327495,acin1b,1.363784,1.09E-04
NM_001002649,436922,acly,0.723661,9.72E-05
NM_001034983,568448,aco1,1.310593,1.02E-02
NM_198908,322670,aco2,0.788814,1.21E-03
NM_001099975,554842,acot11,1.029254,2.83E-05
NM_001080803,564010,acot13,0.692797,1.30E-05
NM_213147,406421,acox3,1.366987,2.17E-03
NM_001031837,555308,acsl1,1.247967,5.23E-05
NM_001080656,541435,acss1,0.989335,8.81E-07
NM_001017750,550445,acta1a,0.992388,1.80E-03
NM_212620,322509,acta2,0.70102,2.20E-03
AF116824,408256,actc1a,1.268396,1.45E-03
NM_001168286,560400,actn1,0.687711,2.51E-04
NM_001037573,641575,actn2,1.218702,5.58E-08
AF047837,58037,actn3a,3.699732,9.17E-10
NM_205544,323320,actn3b,0.771707,2.42E-02
NM_199586,322221,actn4,1.308451,9.85E-07
NM_213499,406820,actr2,0.687092,4.84E-04
AF435024,266753,acvrl1,0.667344,1.99E-02
BG985598,436619,acy3.2,1.132769,3.41E-06
AW280443,563160,adam23a,0.997418,8.93E-03
NM_131596,58119,adar,1.569046,7.11E-03
NM_152885,259257,adcyap1a,6.511205,1.88E-07
NM_199663,556762,add3a,0.968711,8.40E-07
AW116233,322482,adh8a,2.058293,7.49E-08
NM_203460,402841,adh8b,0.695582,5.67E-05
BG728885,404618,adhfe1,0.739994,1.31E-04
