Accession,Unigene,Gene,Ratio,ttest
BI671403,564805,arhgap29a,1.022327,4.73E-04
NM_200111,378998,arhgap29b,1.990143,1.32E-07
BG892200,394132,arhgdig,1.26087,5.89E-04
NM_214818,407987,arhgef18,3.069324,2.04E-08
AI721499,553493,arhgef7a,1.069214,3.95E-05
NM_001031668,327404,arid4a,1.230116,3.65E-05
NM_001002473,436746,arl1,1.090515,9.80E-04
NM_199693,324689,arl11,4.284833,1.53E-10
NM_001017749,550444,arl4ca,1.624659,9.34E-03
NM_199644,323573,arl4d,1.121842,2.16E-02
NM_131674,64277,arnt2,0.866948,3.43E-02
NM_131577,58098,arntl1a,1.002635,3.31E-07
AB087257,352935,arntl1b,0.650178,3.25E-02
NM_131578,58099,arntl2,1.497171,3.01E-03
NM_201343,394243,arpc1a,1.070913,5.63E-06
NM_212699,327068,arpc2,1.196854,1.69E-05
NM_001002114,415204,arpc3,0.762439,2.56E-07
NM_205537,114456,arpc4,1.217962,2.08E-05
NM_001003762,445305,arpc4l,1.17094,3.02E-06
BM890460,399482,arpc5b,0.95679,1.85E-05
NM_200972,393947,arpp19b,0.841215,8.95E-07
BG308435,572664,arr3,0.979164,1.27E-05
AW115903,100006005,arrdc1a,5.031936,1.51E-07
NM_199939,335206,arrdc2,1.017146,4.14E-02
NM_001080029,566685,arrdc3,0.794268,8.18E-04
NM_200577,393549,asah1b,0.822987,1.65E-03
AI815343,560581,asap2b,1.47999,7.75E-05
NM_001040368,678621,asb16,2.431293,4.20E-04
U14587,30466,ascl1a,1.551625,2.80E-05
AW170934,563799,ash1l,1.128058,5.96E-08
NM_200451,393423,asl,0.855572,1.77E-04
NM_200964,393939,atf3,1.144853,1.01E-05
AW077931,406514,atf4,1.839849,4.65E-08
NM_213233,406514,atf4b1,2.247507,7.37E-10
NM_001103192,556410,atf4b2,1.857391,2.81E-04
EH580651,570965,atg12,0.713742,3.92E-03
NM_205618,494180,atg5,0.696293,2.97E-02
XM_001337882,797457,atg7,2.972383,5.52E-07
NM_001006016,449995,atl3,1.497057,6.50E-07
AF115772,114414,atoh2a,0.993959,3.37E-04
NM_131687,64613,atp1a1a.2,5.689226,7.26E-10
AF308598,64614,atp1a1a.3,5.734242,1.78E-09
NM_131689,64615,atp1a1a.4,2.762684,1.78E-05
AY094620,245703,atp1a1a.5,2.763098,3.26E-07
AF286373,64609,atp1a2a,0.806752,1.06E-02
NM_131684,64610,atp1a3a,2.634706,1.18E-06
NM_131671,64273,atp1b1b,4.742012,1.23E-10
NM_131838,114457,atp1b2b,0.627027,5.33E-03
AF293369,64272,atp1b3b,0.760836,1.53E-03
NM_001007029,260440,atp2a1,1.664807,1.99E-05
NM_001077533,494489,atp2a1l,1.515151,6.25E-06
NM_200965,393940,atp2a2a,1.45771,4.51E-07
NM_001044757,378746,atp2b1a,1.431603,4.08E-04
NM_001077467,768304,atp2b4,0.978314,2.47E-04
NM_001077355,553755,atp5a1,0.769332,2.72E-04
NM_199968,335709,atp5d,0.818094,5.57E-03
NM_001005960,449787,atp5f1,0.813573,9.58E-05
NM_200702,393675,atp5h,0.636855,1.62E-04
NM_199757,326977,atp5l,0.845354,1.07E-04
NM_200218,393187,atp5s,0.671718,5.83E-04
NM_173265,195824,atp6ap1,1.20712,1.88E-03
NM_212672,324307,atp6v0a1a,1.077911,4.61E-04
AY099523,192336,atp6v0c,0.619432,2.65E-04
NM_201322,368907,atp6v1c1a,1.029751,3.88E-03
NM_001003576,445182,auh,1.286173,3.36E-05
NM_131163,30400,b2m,1.016089,8.03E-04
NM_207101,404633,b3galt2,1.158967,2.79E-04
NM_131031,57934,bactin1,1.289968,7.07E-06
AF025305,57935,bactin2,1.028202,6.14E-06
AF231017,58100,bad,1.976213,1.08E-08
NM_198922,387261,baiap2l1a,4.067967,4.60E-07
NM_131784,83496,bambi,1.578385,2.93E-06
NM_001002189,431736,bambib,1.505171,1.20E-06
NM_001013296,503609,baxb,1.543599,3.17E-03
NM_213517,798901,bc2,2.315115,5.92E-05
NM_200092,368488,bcap31,0.940272,2.26E-06
NM_001002676,436949,bcat2,1.399496,4.61E-03
NM_131799,84041,bcdo2l,1.845897,3.68E-03
