Accession,Unigene,Gene,Ratio,ttest
AI722924,393582,dopey2,1.318926,2.31E-08
NM_001007152,474324,dpf2,0.859535,1.91E-02
NM_001111169,562738,dpf3,1.913292,5.49E-07
NM_001002683,322527,dpp3,1.219368,1.23E-03
NM_212638,323355,drg2,0.590983,1.27E-03
BC167476,560091,dsc2l,1.4434,3.68E-07
BC090682,324023,dspa,2.966058,7.98E-11
AI546038,322942,dspb,2.904193,6.94E-10
NM_001045422,566846,dub,0.764587,1.24E-05
NM_001007309,492343,dullard,2.432271,1.85E-07
NM_213067,406340,dusp1,2.59955,3.46E-07
NM_001003451,445057,dusp2,1.82072,3.64E-03
AI601685,114436,dusp5,2.598537,3.89E-04
NM_194380,353314,dusp6,0.651858,4.08E-02
NM_199774,327246,dusp7,1.450538,6.86E-07
NM_200099,373083,dynll2a,0.710897,9.30E-03
NM_001080689,100005019,dyrk1aa,0.699724,9.76E-03
NM_001044833,557602,dyrk2,0.907865,9.81E-03
NM_213432,406741,e2f4,1.726077,5.55E-07
NM_199784,327318,eapp,0.638682,3.21E-03
NM_001004529,368912,echs1,1.292165,6.64E-08
NM_001077177,569243,ecsit,0.801858,9.08E-04
NM_131519,58032,edn1,1.490616,5.39E-05
NM_001177453,565501,eef1da,0.981944,9.96E-06
AA495201,437013,eef2k,1.552477,1.32E-04
NM_131159,30396,ef1,1.89956,1.90E-09
NM_001037395,567323,efhc2,0.595773,1.75E-02
Y09669,30223,efna5b,3.753404,7.50E-08
NM_131023,30219,efnb2a,0.713067,1.83E-02
NM_131806,114378,efnb3,0.689563,4.11E-02
NM_200827,393800,efr3a,1.651297,8.14E-06
AI878761,436730,egfl6,4.227065,1.50E-10
NM_213310,406602,egln3,0.904843,4.20E-02
NM_131248,30498,egr1,1.602306,2.66E-03
AY070229,368241,egr2a,4.351858,3.29E-10
NM_200063,337401,ehd2,2.15759,1.08E-04
NM_001039822,568223,ehf,0.71212,3.10E-05
NM_001030131,100005761,ehmt1a,0.697208,9.22E-03
NM_001006082,450062,eif1axa,0.806125,4.15E-04
NM_199588,322237,eif1b,0.75624,9.09E-04
NM_200016,336498,eif3d,1.328222,1.09E-05
NM_001024735,334626,eif3m,1.502834,1.15E-03
NM_199820,327515,eif3s10,0.660263,5.34E-03
NM_201078,394053,eif4a3,1.267612,7.03E-06
NM_001014289,323453,eif4g2a,0.984325,3.92E-06
NM_001013443,334618,eif4g2b,0.760398,1.46E-03
NM_200944,386850,eif6,0.681051,6.10E-04
AF173984,30732,elavl3,0.76262,4.87E-05
AI385059,560869,elf3,5.577607,1.39E-09
NM_199707,325221,ell,0.827762,5.98E-03
AW232871,406725,elovl1b,1.179642,2.44E-05
NM_199972,335732,elovl4b,1.230909,4.43E-06
NM_201500,798903,elovl6l,1.165573,1.01E-04
NM_199875,334217,elovl7a,4.732927,2.06E-09
NM_199778,327274,elovl7b,3.909584,4.82E-09
NM_001030235,569375,eml2,2.097396,1.58E-03
NM_131280,30537,emx2,2.564921,4.93E-06
D32214,30536,emx3,2.123732,2.36E-06
BI878329,402874,eno2,1.832807,2.70E-05
NM_214723,378963,eno3,0.841085,1.53E-02
AW171147,100005551,entpd3,3.409663,9.21E-07
DQ017642,565612,ep300b,0.765439,3.85E-02
NM_001039806,555192,epas1,0.837481,2.06E-03
AI959496,566886,epas1a,5.022825,1.50E-10
NM_131223,30470,epb4.1l4,1.497123,6.50E-06
NM_213175,406454,epcam,5.671819,7.67E-09
NM_131005,30199,epd,1.684375,5.69E-03
NM_001005919,30688,ephb4a,2.488146,3.14E-07
BC055594,322331,ephx1,1.096063,3.21E-04
NM_213362,406671,epn1,2.293507,1.56E-04
NM_001038009,100004455,epo,1.118268,2.78E-06
NM_001013313,503735,eps8l1,1.824187,5.41E-03
NM_001128747,569087,eral1,1.129708,1.42E-02
NM_199785,327322,ercc4,2.655068,1.28E-06
NM_001005984,449811,ercc8,1.526546,2.98E-07
NM_201015,393990,ergic3,1.384117,5.19E-03
NM_199432,368331,erlec1,1.146001,8.92E-04
NM_152959,259252,esr1,1.046678,2.02E-04
AW154514,560190,esrp1,6.495003,1.23E-12
NM_199272,572992,esrp2,6.137278,1.57E-10
U93464,405891,esrra,0.922561,6.87E-03
NM_198909,325724,etfa,0.672743,1.11E-02
NM_001004598,447859,etfdh,0.839945,1.73E-03
BI880905,565971,etnk1,4.090571,1.64E-09
NM_001023580,326672,ets2,2.808794,8.22E-07
NM_001037375,555766,etv2,0.837518,1.38E-05
AF339838,114444,etv6,1.71434,4.72E-07
NM_199519,58003,evla,3.300805,1.99E-06
AI957816,793139,evpl,5.064905,4.21E-10
AW078404,450057,exosc9,1.058695,1.99E-05
AF118106,30436,eya1,1.041553,5.40E-03
NM_001014365,541552,eya4,2.169371,1.49E-06
NM_001077279,768133,ezh2,1.335629,8.01E-04
NM_001030285,561589,ezr,3.486598,1.59E-05
NM_201462,282670,f10,1.732759,3.71E-06
NM_001004667,323696,f11r,2.763033,3.04E-08
BM571160,325881,f2,1.26176,2.04E-02
NM_001079805,794649,f2rl1,2.834163,8.74E-06
NM_182868,359826,f9,0.677239,2.14E-02
NM_152960,171481,fabp10a,2.468155,2.74E-04
AJ132590,30708,fabp2,3.232455,5.32E-10
NM_001044818,557060,fam20b,1.305301,2.87E-05
NM_001002203,431750,fam32al,0.717045,2.00E-02
NM_212725,334205,fam3c,2.037015,7.85E-05
NM_213521,568805,fam40a,0.624716,2.83E-03
NM_001004547,447808,fam43b,2.189469,3.47E-07
BC154508,556203,fam45a,0.806619,1.10E-03
NM_001077806,777768,fam46b,0.832078,1.65E-03
NM_200070,337591,fam49ba,1.309373,3.50E-07
NM_001017636,550329,fam50a,1.720337,2.09E-07
NM_212751,336057,fam69c,0.589457,4.41E-03
BC124608,324185,fanci,1.115821,1.04E-04
NM_213508,406829,far1,1.653493,1.49E-06
DQ812117,768248,fas,0.916784,1.93E-02
NM_131042,30240,fbln1,0.836742,2.85E-02
NM_199942,335231,fbp1a,3.316215,7.56E-11
NM_213132,282672,fbp1b,1.907005,1.43E-07
NM_001004008,445505,fbp2,1.602638,2.47E-06
NM_001007315,492349,fbxl4,0.660643,2.36E-03
NM_201151,100001417,fbxo30,0.801168,3.48E-03
NM_001008577,494034,fbxo44,1.196538,1.53E-03
NM_131521,58035,fbxw4,1.54705,5.84E-04
AA495302,553949,fcho2,0.610519,4.27E-04
BC134185,100126232,fdx1,0.760478,5.65E-03
NM_198145,378965,fem1c,1.329741,9.58E-07
CB366069,569489,fetub,1.179306,2.57E-04
NM_131636,60634,fezf2,0.913008,7.30E-04
AW076820,492758,fgf13,0.807273,6.49E-04
AI330881,559630,fgf20a,0.647045,4.18E-02
NM_131281,30538,fgf8a,2.67484,8.17E-08
AI384823,793049,fgfbp2,0.618232,4.15E-03
NM_131606,58129,fgfr3,0.638158,3.64E-02
NM_200740,393713,fhit,0.803714,2.24E-02
NM_001017794,334648,ficd,3.205249,5.88E-07
NM_001020498,552928,fitm2,1.458618,1.35E-08
NM_201469,321795,fkbp4,1.226669,9.65E-05
AF177538,30619,fli1a,0.757426,1.52E-02
AI721358,569979,flnbl,2.135827,3.27E-04
NM_201456,245697,flot1b,1.099598,2.02E-05
AF315945,245698,flot2a,0.937208,3.29E-04
NM_198910,794311,fmo5,2.473722,9.57E-08
NM_001003634,445240,fnbp1l,1.319432,8.65E-05
NM_199626,323003,foigr,0.897477,3.23E-03
NM_205569,394198,fos,1.438166,3.60E-06
NM_131282,30539,foxa,1.966959,7.06E-06
AF052250,30541,foxa1,4.060596,3.55E-07
AF052245,30559,foxa3,4.46226,1.73E-09
NM_131283,799571,foxb1.1,1.644522,4.54E-05
AF052251,30524,foxd5,0.878826,4.54E-04
AF067204,30274,foxg1,0.982861,4.04E-03
AF198446,30315,foxn4,1.048532,1.92E-05
NM_001077564,564127,foxp1a,1.883465,3.39E-04
NM_001039637,569047,foxp1b,0.585016,2.69E-02
NM_001030082,555242,foxp2,2.061743,3.61E-07
NM_212907,405843,foxq1,2.917709,4.44E-08
AI601355,563428,fras1,3.364061,3.82E-08
NM_001137659,564383,frem3,1.195542,2.53E-04
NM_001045117,566722,fsd1,2.300054,1.88E-05
NM_001017860,325423,fstl1a,0.61936,2.69E-03
NM_001039621,324309,fstl1b,0.64788,3.20E-02
NM_131410,792063,ft2,0.820835,1.16E-02
NM_001045270,692298,ftr14,1.135305,5.45E-03
NM_001045560,550365,ftr29,1.252854,1.35E-08
NM_001007387,492515,ftr72,2.027058,1.43E-03
NM_001075103,338307,ftr82,2.70976,2.39E-10
BI891984,565972,ftr83,2.476612,1.01E-05
NM_212740,335494,fuca1,2.876003,9.71E-12
NM_001004115,445487,fuca2,1.724259,3.71E-07
NM_001045106,566557,furina,2.325435,4.14E-06
NM_201083,394058,fus,1.59343,6.89E-06
NM_001007454,492813,fut9,2.916038,7.97E-08
NM_199847,333987,fxyd6,1.75301,2.27E-04
BC150369,566443,fxyd6l,1.209929,6.28E-06
AL591180,30366,fzd10,1.491363,2.47E-06
U49412,30370,fzd2,1.253215,4.85E-05
NM_200253,393223,fzr1,0.668985,2.52E-02
U27121,30600,g12,5.49443,1.62E-10
NM_001017708,550403,gad2,1.54204,1.04E-07
NM_001002216,431763,gadd45a,1.210365,3.89E-02
NM_200576,393548,gadd45aa,1.303745,9.21E-05
NM_001002216,431763,gadd45ab,1.183057,2.52E-05
AI384708,393548,gadd45al,2.335388,4.24E-08
NM_213031,406304,gadd45ba,3.767782,3.24E-07
NM_205691,402991,gadd45g,1.091762,9.50E-04
NM_213111,406385,galcb,1.889159,1.31E-06
NM_001040299,678540,gale,2.63996,1.16E-10
NM_001006002,449829,galk1,1.40621,8.80E-04
AI461355,792268,galk2,1.358064,9.08E-05
NM_001020641,553668,galnt7,3.10644,5.21E-09
NM_001105595,796865,gamt,0.723417,1.88E-04
NM_001115114,317743,gapdh,1.64907,3.16E-06
NM_131211,30458,gata3,2.584807,1.88E-06
AF191577,30483,gata4,0.907958,1.01E-03
BM036580,100005159,gb:bm036580,1.774107,1.18E-03
AI522466,387303,gbgt1l4,6.62936,4.80E-12
AY050504,140425,gc2,0.608571,2.00E-02
NM_001006024,450003,gcdhl,1.21237,7.93E-04
NM_199277,326857,gclc,1.494684,1.52E-10
NM_199845,333974,gclm,1.106782,5.07E-04
AI722764,324510,gcnt4,2.325813,7.97E-08
NM_001013457,541329,gcsha,0.784666,6.19E-03
BE558157,406482,gdpd3,1.488981,2.98E-04
NM_001079961,552967,ggnbp2,0.907455,1.40E-04
NM_200035,336798,ggps1,0.66657,1.32E-02
NM_200930,393904,gipc2,1.836701,1.16E-08
NM_001077803,777765,gk5,2.119483,1.02E-06
NM_001005978,449805,glipr2l,0.766767,4.26E-04
NM_213151,368213,glo1,0.973843,8.03E-05
NM_001005942,449769,glrx,1.808885,3.96E-03
NM_001003497,791641,gltpd1,1.980922,1.14E-06
NM_212576,317737,glud1a,1.189159,4.65E-04
NM_181559,100000775,glula,1.274529,1.02E-04
NM_182866,336473,glulb,1.005504,3.72E-04
NM_001007771,493611,glyr1,2.216407,5.57E-10
NM_200489,393461,gmds,3.480556,3.76E-10
NM_213110,406384,gmfb,1.115095,8.07E-03
NM_200497,393469,gmppa,2.786378,6.02E-10
NM_001003491,445097,gmppb,1.589332,4.28E-06
NM_001013277,503589,gna12,1.259012,5.91E-03
NM_001012243,326825,gna13a,1.00578,4.92E-02
NM_001003753,445297,gna14,2.960763,1.06E-07
NM_199842,327650,gnai2,0.742456,8.04E-03
NM_001001818,336421,gnai2l,0.727887,1.37E-03
FN552724,571305,gnav1,1.425997,7.77E-07
NM_212609,322104,gnb1,0.873502,4.37E-03
NM_001013497,541370,gnb2,0.802657,1.44E-05
BC076184,436673,gng13b,3.054159,5.24E-06
NM_214721,337838,gng5,0.83244,3.13E-03
AY050507,335655,gngt2,0.834689,5.75E-03
NM_212816,403338,gnmt,1.641388,1.16E-06
NM_001044768,553365,gnptab,0.828127,3.27E-04
AJ304429,360141,gnrh3,1.108364,2.19E-04
NM_001127334,565431,golga2,1.022185,2.50E-03
NM_213411,406720,golga5,0.726906,4.98E-02
AI793815,100000956,golim4a,2.329113,1.90E-05
AI641271,324210,golph3l,0.912691,2.46E-03
NM_200703,393676,gorasp2,0.790629,4.13E-02
NM_001017651,100001316,gosr1,0.665953,5.27E-03
NM_213057,406330,got1,0.922926,7.22E-05
NM_213379,406688,got2a,1.307361,1.23E-04
BC125884,565404,gpatch8,1.373765,1.07E-02
NM_214753,406615,gpd1,3.070115,1.53E-10
NM_144763,246094,gpia,0.810241,4.30E-02
NM_144764,246095,gpib,1.275852,5.52E-06
NM_213200,368223,gpm6aa,0.776024,1.22E-05
AY070265,368225,gpm6ba,1.081044,8.98E-07
NM_001002691,436964,gpr137bb,0.935153,4.10E-02
NM_001077759,777711,gps1,0.621797,3.20E-02
NM_001142774,403086,gpt2l,0.929065,1.48E-02
NM_001004634,447895,gpx1b,0.873615,5.08E-03
NM_001004287,446167,grb10,1.129543,5.31E-05
BC125889,324942,grhl1,1.182434,6.15E-07
NM_001030092,555744,grhl2a,3.179513,4.13E-07
AF361751,170451,gria2b,0.81186,5.84E-06
NM_201208,394183,grina,0.757875,1.58E-04
NM_131012,30206,gro2,0.932922,9.79E-03
NM_213402,406711,grtp1a,0.95766,2.29E-04
NM_001017810,550508,grtp1b,1.376226,3.60E-05
NM_131381,30654,gsk3b,1.158415,1.07E-03
NM_001012312,321099,gsna,0.953541,6.16E-04
NM_001089344,336623,gsnb,5.146952,1.39E-09
NM_001003992,445485,gspt1,0.903319,8.65E-03
NM_198806,325284,gspt1l,2.384905,1.16E-08
NM_213394,406703,gstal,2.331496,1.12E-07
NM_131734,79381,gstp1,3.116794,1.98E-11
CF416980,563972,gstt1a,1.612776,6.94E-05
NM_001017560,550132,gtdc1,0.730598,6.19E-03
NM_199697,324823,gtf2b,0.599656,5.49E-03
NM_199729,325832,gtf2f1,0.628307,1.06E-02
CK677362,568510,gtf3c4,0.761738,2.65E-04
NM_194393,373099,guca1c,1.54041,5.67E-07
AF414110,252913,h2afv,0.9885,2.36E-06
NM_001040361,678613,h2afy,3.096658,3.17E-06
NM_200003,336231,h3f3c,1.17421,5.98E-05
AW115528,406358,hacl1,0.922097,2.72E-06
NM_001003515,445121,hadh,1.042158,8.97E-05
NM_001105276,553401,hadha,0.984459,3.24E-02
NM_200019,336606,hadhb,1.047011,4.32E-05
NM_201451,58016,hccs,0.900842,2.83E-02
NM_001002498,436771,hccsa,0.90004,1.12E-06
AI793961,568877,hdac4,1.103739,3.65E-02
NM_213431,406740,hdac8,0.805262,1.51E-02
NM_200816,393789,hdac9b,2.112384,1.27E-03
NM_201474,794178,hdlbp,1.02306,9.02E-03
NM_200478,368728,heatr5a,1.982069,1.06E-08
NM_001002504,100002034,hectd1,0.774506,1.56E-02
NM_001077159,563189,hectd3,1.01847,1.07E-02
NM_131873,140613,her9,2.332993,4.63E-10
NM_200188,393157,herpud2,0.883809,5.81E-03
U65433,30620,hesx1,0.9196,3.59E-06
NM_001114845,323613,hexa,1.289843,4.31E-02
AI626348,792224,hhatlb,3.044015,1.02E-08
NM_001080012,564153,hhip,1.522217,1.96E-04
AI477208,322115,hiat1a,1.132305,5.09E-04
NM_201160,394135,hibadhb,0.798941,5.16E-04
NM_001014316,798364,hibch,0.622624,1.72E-02
AJ307688,359828,hic2,0.936656,5.88E-03
NM_201496,373126,hif1an,0.79404,1.34E-04
NM_200100,373084,hig1,1.444209,5.12E-07
NM_213424,406733,hinfp,0.719774,4.64E-04
NM_001122708,403053,hirip5,0.832619,2.79E-04
NM_200117,386920,hist2h2l,0.84481,8.64E-06
NM_213252,406791,hk1,0.865104,6.96E-04
NM_213066,406339,hk2,0.625543,7.61E-03
BE693146,321398,hm:zeh0535,0.716685,2.75E-02
NM_001004674,447936,hmgb2l,0.803564,3.50E-03
NM_201215,394190,hmgcl,2.151477,1.75E-04
AI545224,394060,hmgcs1,0.762555,1.98E-02
NM_131880,792391,hnf1b,2.804049,7.37E-09
NM_131880,792391,hnf1ba,3.123699,2.53E-05
AF250352,324283,hnf1bb,5.15035,3.42E-04
NM_194368,322358,hnf4a,4.343141,5.45E-05
NM_001110460,560522,hnrnpd,0.806343,3.50E-02
NM_200104,378453,hnrpa1,0.811191,1.15E-03
NM_213392,406701,hnrpdl,0.759453,2.38E-06
NM_212991,406264,hnrpkl,1.281515,2.51E-06
NM_201099,394074,hnrpl,0.973035,4.03E-03
AF536198,386589,hopx,3.116721,3.31E-08
NM_131147,30382,hoxa11b,3.19354,1.47E-07
AF071241,570239,hoxa13a,0.933166,3.72E-05
NM_131536,58051,hoxa1a,1.221778,2.63E-02
AF071249,58048,hoxa9b,1.460356,2.18E-07
NM_131142,30374,hoxb1b,0.686976,3.89E-02
NM_131117,30339,hoxb3a,0.761863,1.56E-03
NM_131118,30340,hoxb4a,1.191161,6.31E-04
X12802,30317,hoxb5a,1.640482,8.44E-04
AF071254,58053,hoxb6b,2.207492,2.33E-09
Y14541,30403,hoxc11a,1.992235,4.54E-11
AF071260,58062,hoxc12b,1.835316,1.27E-07
X68324,30379,hoxc5a,0.643749,1.71E-02
U51403,30404,hoxd10a,0.711954,7.59E-03
NM_212986,406259,hprt1,1.446424,3.12E-06
NM_001017623,550286,hrasa,0.602211,3.68E-03
NM_001076646,767708,hs3st3b1a,0.685788,2.23E-03
NM_200323,393293,hsd11b3,2.926946,2.09E-08
AW305632,450078,hsd17b10,1.133049,9.47E-04
AW116075,327417,hsd17b12a,4.863161,4.25E-10
NM_199613,322626,hsd17b12b,1.134484,4.72E-03
NM_001003521,445127,hsd17b14,3.864885,1.53E-10
AF241285,393105,hsd17b4,0.962977,1.21E-02
AF137536,64815,hsd17b8,1.695501,1.97E-08
NM_199809,327462,hsd3b7,0.823385,1.08E-02
NM_199599,322347,hsdl2,0.76431,1.49E-03
AF412832,140427,hsf2,0.732798,1.60E-03
NM_001017541,548337,hsh2d,2.120743,3.87E-08
NM_198210,386590,hsp90b1,1.013344,8.03E-05
NM_199857,334086,hspa4,0.983673,1.44E-02
AF064831,373085,hspa9,1.405862,2.61E-02
NM_001008615,368243,hspb1,2.552902,5.62E-12
NM_131681,64605,htatip2,3.931676,3.46E-11
NM_201203,394178,htatsf1,0.715809,5.49E-04
AW077440,335896,htr6,1.01936,2.14E-03
NM_130909,30065,hug,0.64131,2.78E-02
NM_212703,327133,hyou1,0.679126,2.71E-02
NM_212761,336655,icn,3.968982,1.49E-06
NM_001082957,100005083,icn2,4.409389,4.04E-07
BG985460,338250,id:ibd1132,2.448565,2.58E-07
BG985488,338300,id:ibd1152,1.797257,7.34E-05
BG985709,338260,id:ibd2247,0.870547,1.57E-02
BG985838,80950,id:ibd5098,2.925698,1.69E-07
NM_131245,30493,id1,1.018473,1.13E-04
NM_201291,266599,id2a,1.473055,3.90E-07
NM_199541,321364,id2b,2.142849,1.40E-07
NM_152967,246093,id3,1.528053,1.86E-04
NM_001089525,561390,ide,1.698335,1.43E-05
NM_201499,100006589,idh1,1.737324,8.04E-07
NM_199564,386951,idh2,0.718244,6.47E-04
NM_001002157,415247,idh3b,1.334478,1.55E-05
BC093425,550579,idh3g,2.033075,1.52E-03
NM_001142583,797137,ier2,0.854591,3.03E-05
NM_001007197,359827,ier5,1.656236,4.15E-09
NM_199754,326935,ier5l,3.906883,5.30E-09
BC124131,322336,ifit2,2.11552,1.09E-06
NM_131433,30710,igf2a,1.503463,8.29E-03
AI584642,323096,igf2bp2b,1.14115,9.01E-04
AF198033,794176,igfbp2a,0.70241,2.66E-05
NM_205726,403039,igfbp5a,1.35258,1.68E-03
AF246188,619525,igiv1s4,0.781229,5.79E-04
AF246184,394251,igiv1s5,0.790287,7.83E-04
AF246179,619528,igiv2s2,0.832531,3.03E-05
NM_001110473,567714,igsf21b,0.75279,1.34E-04
NM_131088,30299,ihhb,0.588066,2.98E-02
BM735915,337840,ik:tdsubc_1c11,0.822192,2.73E-04
AW076974,541530,ikbkg,1.40751,4.98E-07
NM_001009558,494451,il15l,2.442432,1.32E-06
AI957581,447904,ildr1,1.456149,3.74E-03
NM_200666,393639,ilvbl,1.104451,1.63E-04
BC150337,557349,im:6903007,1.086618,1.22E-05
CK676537,556848,im:7137367,2.263835,1.24E-03
BC154562,559403,im:7138837,2.402737,4.88E-06
NM_001005954,792181,im:7139060,0.700452,1.33E-02
CK680695,100006087,im:7142403,1.004774,2.12E-03
CK683097,555566,im:7145298,1.56565,1.25E-05
BC160642,569051,im:7148243,0.87788,1.78E-04
BC154661,100003770,im:7148400,1.153067,3.25E-03
XM_001334404,797132,im:7148963,1.156798,1.96E-03
CK686347,567949,im:7149048,1.719639,3.79E-06
BM183152,504039,im:7150988,2.832299,2.96E-07
CK689759,492738,im:7152937,0.752203,2.84E-03
CK690685,504143,im:7154187,2.58227,1.02E-07
BC091968,562530,im:7154419,1.242927,2.79E-05
BI472452,100148413,im:7157189,1.337925,3.83E-03
BC124309,798527,im:7158730,3.871081,2.09E-08
CK694107,100150674,im:7158733,0.98112,7.21E-03
CK697938,569458,im:7163548,2.255078,4.63E-07
CK698050,569805,im:7163673,0.685448,2.09E-03
NM_001003755,445299,immp2l,0.8995,1.03E-04
NM_001144784,555251,inaa,1.896841,1.07E-04
AI931071,368723,inadl,0.878929,8.24E-04
NM_200937,393911,ing3,0.784628,2.89E-03
NM_198211,792168,ing5a,0.975237,1.07E-04
NM_131068,30275,inhbb,1.519881,1.36E-08
NM_001080588,563304,ino80db,0.688793,8.97E-03
NM_173267,286776,ints7,0.821589,1.25E-02
NM_201470,322041,ip6k2,2.70669,1.22E-08
NM_001044334,555520,ipo8,0.714537,1.95E-03
NM_200163,393132,irak4,0.623194,6.05E-04
NM_001040352,678604,irf1,3.834671,1.53E-05
NM_205747,792160,irf11,2.755642,4.54E-07
NM_001008614,494071,irf2,2.235687,5.03E-08
NM_212875,405811,irf5,2.726718,1.18E-08
NM_001044810,556650,irgq2,1.800489,3.07E-04
NM_130970,30157,isl2a,1.112399,4.47E-06
NM_001013448,541320,itga6b,1.870584,2.19E-04
NM_001024386,335269,itgb4,0.895061,4.11E-03
NM_001082836,563556,itgb5,0.893916,4.90E-06
NM_201458,266797,itm1,1.118507,2.34E-03
NM_199646,323632,itm2ba,0.849412,1.26E-02
NM_212976,406248,itm2bb,2.07587,4.59E-09
AW184521,406290,itpk1,3.674022,6.92E-08
NM_001128269,794666,itpr3,6.168704,1.95E-12
NM_199279,387591,ivns1abpa,1.074096,2.09E-05
NM_131863,140423,jag1b,0.814509,4.88E-02
NM_001003584,445190,jagn1b,1.182438,3.89E-04
AJ005691,30298,jak2b,0.605824,1.27E-04
NM_170761,266962,jmjd6,2.161584,1.87E-05
NM_001044348,556485,jph1b,1.019196,9.22E-06
AA542460,553333,jph2,0.768572,6.83E-03
NM_199987,335916,jun,3.028615,2.31E-07
NM_213556,407086,junb,2.443516,1.14E-06
NM_212750,336038,junbl,2.237961,2.12E-04
NM_131177,30415,jup,2.191507,1.14E-06
AF163310,30630,kal1a,0.59562,8.12E-03
NM_200819,393792,kcnip3l,3.458522,5.62E-12
NM_001002224,792402,kctd4,2.352735,6.96E-07
NM_212695,325464,kdelr2l,1.056951,8.92E-05
NM_001082805,556504,kdm4b,0.638998,5.00E-02
NM_201139,394114,kdsr,0.622992,1.68E-02
NM_182864,321837,keap1a,0.640654,2.06E-05
NM_001025548,567017,kera,1.271963,4.96E-04
AY029411,369190,kif1b,0.822243,2.26E-04
AL723443,563459,kif5ba,1.242631,2.90E-05
NM_001030086,555316,kin,0.700535,9.00E-04
NM_131053,30256,kita,0.811047,3.85E-03
NM_199954,335499,klc1,0.949113,1.96E-04
NM_001077604,559076,klf11b,1.700097,2.56E-07
NM_131856,117508,klf2a,1.687573,6.06E-08
NM_131857,117509,klf2b,4.877069,1.62E-10
NM_131859,117603,klf3,4.019373,9.94E-11
BE605693,562155,klf4,1.552354,8.11E-06
AI584563,569887,klhdc4,1.103029,9.28E-05
NM_001044853,558035,klhl26,0.833359,2.76E-03
AI584555,407079,klhl31,0.809055,1.24E-02
NM_201320,368640,kpna3,0.779585,1.68E-02
AI641377,445289,kras,0.803075,1.63E-03
NM_001012366,323406,krcp,0.765909,2.09E-04
NM_199572,321836,krit1,0.654665,1.43E-03
BC097213,664718,krt1-19d,1.930378,8.74E-05
NM_213523,406844,krt15,1.781725,1.81E-05
NM_178437,352912,krt18,3.80701,1.43E-07
NM_131509,794486,krt4,4.346842,5.54E-08
NM_131156,797351,krt5,4.788843,1.59E-08
NM_200080,797433,krt8,2.135983,2.27E-07
NM_200081,368207,ktn1,0.654356,6.14E-04
BC139859,561238,lace1a,1.107974,3.69E-04
AW232738,100148638,lad1,3.185032,8.21E-09
NM_001039171,321243,lama5,3.384576,2.10E-10
FJ619351,553337,lamb2l,0.961394,1.75E-03
AF468050,286831,lamb4,0.789075,4.22E-02
AF468048,286832,lamc1,0.966419,1.59E-03
NM_001013533,541406,lamp2,0.663278,6.02E-03
NM_212636,323216,lasp1,0.661011,6.68E-03
NM_199628,323020,lass5,1.075164,7.07E-05
NM_001020510,553164,lats1,1.995101,6.70E-04
NM_001002720,368360,lbr,1.930262,8.54E-07
NM_201505,794339,ldb3a,0.885478,6.09E-03
NM_199858,334100,ldb3b,1.633388,1.08E-04
NM_131247,30497,ldhba,0.792472,6.67E-04
NM_198980,368278,ldlrap1a,0.801348,1.29E-02
AF322374,791772,lect1,0.872404,2.85E-04
AF132445,30146,lft2,0.640751,1.25E-02
NM_001005958,326706,lgals1l1,1.642635,1.54E-09
NM_200514,393486,lgals2b,0.863467,6.75E-03
NM_214693,325599,lgals3l,3.206801,1.65E-05
AI331279,436924,limk2,1.323044,2.68E-04
NM_213404,406713,lipf,0.739956,1.67E-02
NM_200128,393096,lipg,0.943902,7.60E-04
BG985554,431731,litaf,2.498994,6.21E-05
NM_212582,795670,llgl2,2.271601,2.53E-08
NM_001081747,557960,lman2,0.835322,3.84E-04
NM_152971,195815,lmna,0.994766,4.68E-02
NM_131002,30196,lmnb2,1.359963,2.53E-06
AF398514,280646,lmo1,0.76148,2.89E-04
NM_212689,324849,lmo4b,1.120414,2.89E-05
NM_001128231,553341,lmo7a,4.070863,3.54E-10
BI474952,558333,lmo7b,1.616425,9.45E-04
NM_199480,326761,lnpa,0.962006,6.96E-07
NM_001159912,337509,lnpb,0.803179,3.70E-02
NM_212940,564464,lnx2b,4.083181,7.82E-07
BM025955,100000079,LOC100000079,0.736919,8.58E-03
XM_001336435,100000094,LOC100000094,0.813111,1.35E-06
XM_001340605,100000433,LOC100000433,5.700584,3.67E-10
XM_001340611,100000439,LOC100000439,1.080977,1.65E-06
XM_001340656,100000509,LOC100000509,1.644603,7.82E-08
BI671223,100000526,LOC100000526,0.882966,4.24E-02
-,100000597,LOC100000597,1.249551,3.14E-04
AW567068,100000870,LOC100000870,1.806691,5.67E-08
XM_001341255,100001253,LOC100001253,1.016797,3.22E-04
BG884413,100001297,LOC100001297,1.901336,6.01E-05
XR_029688,100001298,LOC100001298,2.184779,6.50E-06
XR_029688,100001298,LOC100001298,5.013297,3.36E-12
AW018552,100001321,LOC100001321,0.955027,2.46E-02
AI354170,100001359,LOC100001359,3.649207,1.58E-09
XM_001341422,100001469,LOC100001469,1.553073,1.96E-02
XM_001341463,100001521,LOC100001521,2.232329,5.46E-04
XM_001341683,100001790,LOC100001790,0.680207,4.67E-04
XM_001337307,100001838,LOC100001838,0.866509,3.85E-03
BE015672,100002007,LOC100002007,0.99877,2.43E-04
XM_001334593,100002043,LOC100002043,4.386978,1.07E-08
XM_001337788,100002112,LOC100002112,4.241235,9.30E-07
XM_001337248,100002182,LOC100002182,0.62578,3.04E-02
