#total_muscle_enriched_W
,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,muscle cell WBbt:0003675,133.36363636363635,251.0,1.88207225631,8.553909562768065e-32,1.8820722563053853
1,anal depressor muscle WBbt:0004292,41.651976284584975,119.0,2.85700729269,6.169488494546041e-29,2.857007292689755
2,muscle of the reproductive system WBbt:0005786,22.807114624505928,40.0,1.75383868843,0.0008421462163435192,1.7538386884336765
3,intestinal muscle WBbt:0005796,19.231422924901185,47.0,2.44391692614,9.095885952420273e-09,2.4439169261440123
4,body wall musculature WBbt:0005813,120.12391304347825,302.0,2.51407061549,2.0536128616278823e-75,2.514070615487631
5,muscular system WBbt:0005737,178.68794466403162,346.0,1.93633655953,5.059228556535564e-58,1.9363365595286681
6,anal sphincter muscle WBbt:0005798,12.466600790513834,49.0,3.93050205292,3.9531996982464425e-18,3.930502052916092
7,egg-laying apparatus WBbt:0008587,135.68300395256918,203.0,1.49613432845,2.033614667551437e-11,1.4961343284451667
8,pharyngeal muscle cell WBbt:0005451,36.819960474308296,69.0,1.87398354347,3.1082969074119213e-07,1.8739835434681096
9,smooth muscle WBbt:0005781,40.78221343873518,93.0,2.28040589655,5.808950016733982e-15,2.280405896548716
10,reproductive system WBbt:0005747,208.06660079051383,252.0,1.21115065581,8.340587862105988e-05,1.2111506558119787
11,vulval muscle WBbt:0005821,63.10612648221344,158.0,2.50371887497,8.553909562768065e-32,2.503718874973772
12,uterine muscle WBbt:0005342,12.756521739130434,36.0,2.82208588957,9.337055306845923e-09,2.8220858895705523
