,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,hermaphrodite-specific(WBbt:0005758),133.6986166007905,167.0,1.24907799531,0.004328173834463432,1.2490779953142208
1,muscular system(WBbt:0005737),130.45316205533598,255.0,1.95472456154,4.338880622108469e-42,1.9547245615390556
2,uterine muscle(WBbt:0005342),9.31304347826087,25.0,2.68440709617,6.938583690592077e-05,2.684407096171802
3,anal sphincter muscle(WBbt:0005798),9.101383399209485,38.0,4.17518945563,8.332352382933826e-14,4.175189455627213
4,anal depressor muscle(WBbt:0004292),30.408498023715413,95.0,3.12412668083,9.659263288891219e-25,3.124126680834747
5,non-striated muscle(WBbt:0005780),88.33280632411066,169.0,1.91321896171,2.373020993037229e-20,1.9132189617060884
6,vulval muscle(WBbt:0005821),46.07134387351779,116.0,2.51783408616,3.5596689637314284e-22,2.5178340861612636
7,body muscle cell(WBbt:0007810),66.81403162055337,140.0,2.09536824233,1.3924489624226597e-19,2.095368242333892
8,pharyngeal muscle cell(WBbt:0005451),26.88083003952569,52.0,1.93446407434,4.6666533739767915e-05,1.9344640743436483
9,body wall musculature(WBbt:0005813),87.69782608695652,232.0,2.64544755955,1.138914216702848e-61,2.6454475595547953
10,intestinal muscle(WBbt:0005796),14.0401185770751,37.0,2.63530537843,6.015571624287675e-07,2.63530537843278
11,smooth muscle(WBbt:0005781),29.773517786561268,66.0,2.21673503525,4.316631895824766e-09,2.2167350352463258
