,Unnamed: 0,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene
1005,1006,C45G7.5,1.07293538444887e-07,2.25497741882728e-06,2.26745355524668,0.42670097793295897,3.1549883253757405,0.8778504407482651,0.0854049931877447,0.0969266219537786,0.18770559366567102,0.18770559366567102,WBGene00000402,cdh-10
3456,3457,T14F9.5,0.00160296111615986,0.00980370462220653,2.27472272125941,0.720905819580462,1.6629643623841,1.49729177556719,0.157961478450754,0.6214854630704101,0.621596322606713,0.621596322606713,WBGene00003018,lin-32
1687,1688,M01B2.6,1.00426496941295e-05,0.000125640084309456,2.3168977390970897,0.524629747407094,2.70308979047918,0.9569476399604,0.14466156426659801,0.112528850357027,0.26819299353005,0.26819299353005,WBGene00010799,chil-12
5531,5532,F13B10.2c,0.0167217390918125,0.0639095678991671,2.3344838830520698,0.9756409089361191,3.79140286372882,9.05370501929223,1.31105688762421,-0.42494511422596903,0.11675588716033398,0.11675588716033398,WBGene00004414,rpl-3
280,281,F44F1.6a,8.789072046464549e-15,6.61307296364413e-13,2.35316648077082,0.303413107508555,4.3965970325045,0.939304660009724,0.0224446193758749,0.11564465133612199,0.0767690934758156,0.11564465133612199,WBGene00009698,F44F1.6
438,439,C33D9.5,1.05187454572359e-11,5.05516792263746e-10,2.3712308864236404,0.348750454119561,4.647743851941651,0.9344482926391908,0.0195883237098245,0.16285199516307597,0.0650133361763482,0.16285199516307597,WBGene00007899,C33D9.5
991,992,T02G5.14,9.43256997906165e-08,2.01041156317843e-06,2.42812199062147,0.45493202878141403,3.1284465058025,1.07616345347248,0.118791705291021,0.0757766392099841,0.19165302092574,0.19165302092574,WBGene00020170,T02G5.14
891,892,T23B12.8b,3.1127703430542996e-08,7.37817302277993e-07,2.4321669719538104,0.43941807001375804,4.14064650461479,0.96907276572899,0.19792958968223,-0.173928490621666,0.0917027706996934,0.0917027706996934,WBGene00020722,T23B12.8
4910,4911,C50H2.3a,0.00984560247780548,0.042387614169872,2.4394090014793397,0.94506587452382,1.8327236009251398,2.6258399526726697,0.248953310559225,1.09077095022498,0.541435734555194,1.09077095022498,WBGene00003173,mec-9
580,581,K04H4.7,2.56026573941538e-10,9.31698769853001e-09,2.5229007304474704,0.398984482025617,3.2565977897625698,0.909949127953853,0.0654261006903423,-0.0172494901521222,0.173356824655533,0.173356824655533,WBGene00010575,flp-25
86,87,F40E10.5,2.02412747380363e-25,4.9190950780034594e-23,2.55044037166263,0.244780120643626,4.58430183536034,0.992426719969177,0.0221588226422471,0.0337659144608539,0.0677171385512153,0.0677171385512153,WBGene00009573,F40E10.5
5693,5694,C17H12.7,0.018846056952144,0.0699793084192451,2.57400698053915,1.09599273331468,0.927235860125972,1.6733361827533897,0.676076887946603,-0.40759181069187106,1.12572321927127,1.12572321927127,WBGene00023238,C17H12.7
523,524,F14H12.3,7.08785903434324e-11,2.85989701456334e-09,2.59224439928197,0.39765752642960495,4.35119347943505,1.2747654481425101,0.0304989957152144,0.206698266773953,0.0792378638303739,0.206698266773953,WBGene00017471,F14H12.3
856,857,F40G9.15,2.0422594897845302e-08,5.038447186991161e-07,2.62378913143377,0.46783346200101705,3.2051621238879706,1.2592050771476297,0.0939632910062944,0.23433893124549102,0.180472410266652,0.23433893124549102,WBGene00077531,F40G9.15
3353,3354,C05G5.5a,0.00134103126432018,0.00844912852183265,2.63827996385185,0.822649780098376,2.4920594249619703,2.6600257611336002,0.376727193611617,0.6384017974322429,0.317448684176847,0.6384017974322429,WBGene00007351,C05G5.5
817,818,F56A12.1,1.3805532806707e-08,3.56834205540594e-07,2.6964340964645497,0.475076985592421,3.5693395630202205,1.48613027300793,0.0958629489104653,0.24268426444890698,0.136826104986416,0.24268426444890698,WBGene00006775,unc-39
5891,5892,Y71F9AL.13b.1,0.0219863701939806,0.0788964400901784,2.72357248088445,1.18901973460932,1.07585752325416,2.55856861577255,1.12125046276114,-0.578407100822657,0.999401431174479,0.999401431174479,WBGene00004412,rpl-1
1045,1046,C08F1.10,1.51633176091716e-07,3.06499067123055e-06,2.7468643946088904,0.523155938887283,4.91251716332721,1.43737173907513,0.0200639971035687,0.39047420748598405,0.0551641535600507,0.39047420748598405,WBGene00015613,C08F1.10
1119,1120,F36H5.13,3.1869531374764e-07,6.01622769514852e-06,2.7771912341952505,0.543264580509879,3.34537694273085,1.6181610665781598,0.111847278830455,0.330857327824408,0.161795915958769,0.330857327824408,WBGene00206519,F36H5.13
3930,3931,Y39B6A.19a,0.00324862514630042,0.0174728266263622,2.8017864490248,0.951959855092054,1.4589392429483101,2.7304744426541,0.625753152164535,0.38653426219575204,0.7335881963957909,0.7335881963957909,WBGene00006696,twk-46
1684,1685,W03F8.6b,9.79535797027617e-06,0.000122909942768872,2.8408926852187095,0.642497193537407,2.3342519532009,1.6111982182409799,0.25878172940062,0.264961071652638,0.360422236154546,0.360422236154546,WBGene00020995,W03F8.6
1212,1213,C05E7.3,6.666745294889711e-07,1.1620362388281401e-05,2.88365958702793,0.580116508523588,2.4799978144903396,1.31149480860856,0.184267130614769,0.0239979938180589,0.320535614577628,0.320535614577628,WBGene00007345,C05E7.3
13,14,F21C10.11a,7.197287805447621e-45,1.0144817071371901e-41,2.91815536512121,0.20762678172333301,5.246152413583769,1.6977127505774001,0.0197194118095783,0.036688591995487,0.0449439089236045,0.0449439089236045,WBGene00017660,F21C10.11
