#0hr_muscle_enriched_
,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,muscle cell WBbt:0003675,90.27272727272727,183.0,2.02719033233,8.213798933104885e-28,2.0271903323262843
1,anal depressor muscle WBbt:0004292,28.19387351778656,87.0,3.08577677151,7.07135161644671e-23,3.0857767715072795
2,muscle of the reproductive system WBbt:0005786,15.43794466403162,35.0,2.26714117466,1.3726706511604908e-05,2.267141174663321
3,intestinal muscle WBbt:0005796,13.017588932806325,34.0,2.61185079476,6.306583623552399e-07,2.611850794759295
4,anal sphincter muscle WBbt:0005798,8.438537549407114,42.0,4.97716574159,4.868306919620601e-19,4.977165741586455
5,smooth muscle WBbt:0005781,27.60513833992095,77.0,2.78933577698,2.576376870513365e-17,2.7893357769791383
6,egg-laying apparatus WBbt:0008587,91.84268774703557,154.0,1.67678019642,2.900828266305243e-13,1.6767801964176587
7,pharyngeal muscle cell WBbt:0005451,24.923122529644267,47.0,1.88579901833,5.7236691930714194e-05,1.8857990183251263
8,reproductive system WBbt:0005747,140.8385375494071,182.0,1.29225993941,1.3726706511604908e-05,1.292259939408652
9,vulval muscle WBbt:0005821,42.71600790513834,123.0,2.87948256478,1.2342887165746807e-30,2.8794825647835
10,uterine muscle WBbt:0005342,8.634782608695652,29.0,3.35850956697,1.3839234678676668e-08,3.358509566968782
11,body wall musculature WBbt:0005813,81.31086956521739,230.0,2.82865010828,1.6802161076965886e-70,2.8286501082800846
12,muscular system WBbt:0005737,120.95237154150198,258.0,2.13307103211,5.2171466071700035e-56,2.1330710321084805
