#GABAergic-motor-neurons_larva_enriched_
,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,outer labial neuron WBbt:0006801,0.907114624505929,4.0,4.40958605664,0.01224775512416641,4.40958605664488
1,nervous system WBbt:0005735,30.045652173913044,44.0,1.46443817379,7.634218753223783e-05,1.4644381737935026
2,cholinergic neuron WBbt:0006840,3.4268774703557314,14.0,4.08535178777,1.6946598506729796e-05,4.0853517877739325
3,embryonic cell WBbt:0007028,9.534782608695652,16.0,1.67806657547,0.046196231810292955,1.6780665754673962
4,anterior ganglion (post) WBbt:0005371,2.16699604743083,11.0,5.07615139079,2.08062262269716e-05,5.076151390788874
5,DD neuron WBbt:0005270,0.624901185770751,13.0,20.8032890576,5.1837390182420316e-14,20.803289057558505
6,interneuron WBbt:0005113,5.321739130434782,17.0,3.19444444444,3.265888661672008e-05,3.1944444444444446
7,outer labial sensillum WBbt:0005501,1.0280632411067194,4.0,3.89081122645,0.019627699530811317,3.8908112264513646
8,VD neuron WBbt:0005303,0.5341897233201581,11.0,20.5919348872,4.2400954119846974e-12,20.59193488716241
9,head motor neuron WBbt:0008610,1.3707509881422926,7.0,5.10668973472,0.000587650320149051,5.106689734717416
10,ventral ganglion (post) WBbt:0005264,1.3102766798418972,6.0,4.57918552036,0.0024591638397711986,4.579185520361991
11,retrovesicular ganglion neuron WBbt:0005403,0.9877470355731225,6.0,6.07442977191,0.0005701933983688076,6.074429771908764
12,pharyngeal interneuron WBbt:0003668,0.6853754940711463,4.0,5.83621683968,0.004515449142446899,5.836216839677047
13,ventral ganglion (ant) WBbt:0005266,1.0482213438735177,7.0,6.67797888386,0.00011612322539220586,6.677978883861237
14,DB neuron WBbt:0005274,0.5644268774703557,4.0,7.08683473389,0.0020255287239207133,7.086834733893558
15,anterior ganglion WBbt:0005375,2.6709486166007905,11.0,4.11838697743,0.00011947088422178673,4.118386977432483
16,DA neuron WBbt:0005278,0.6853754940711463,5.0,7.2952710496,0.000587650320149051,7.295271049596309
17,mechanosensory neuron WBbt:0008431,3.4470355731225295,9.0,2.61093911249,0.011927885737891058,2.6109391124871
18,dorsal ganglion WBbt:0005214,1.249802371541502,5.0,4.00063251107,0.010408597571945314,4.000632511068943
19,head WBbt:0005739,26.235770750988145,38.0,1.44840417919,0.001976258246041855,1.448404179189924
20,ventral nerve cord WBbt:0005829,4.596047430830039,11.0,2.39336085311,0.010702647447594993,2.3933608531131756
21,nerve ring neuron WBbt:0006974,4.233201581027668,11.0,2.59850606909,0.005689606987912066,2.5985060690943045
22,serotonergic neuron WBbt:0006837,2.348418972332016,6.0,2.55491037617,0.04419617811495486,2.5549103761676344
23,preanal ganglion neuron WBbt:0005447,1.4715415019762845,5.0,3.39779747515,0.01928672861390248,3.3977974751544453
24,PVD WBbt:0006831,0.6853754940711463,3.0,4.37716262976,0.025839247056908692,4.377162629757785
25,GABAergic neuron WBbt:0005190,1.592490118577075,15.0,9.41921072226,5.5489326208625606e-11,9.419210722263589
26,sensory neuron WBbt:0005759,8.16403162055336,16.0,1.95981602518,0.011453490569795069,1.9598160251755024
27,motor neuron WBbt:0005409,4.414624505928853,18.0,4.07735697019,6.109609155261412e-07,4.077356970185335
28,dorsal nerve cord WBbt:0006750,2.640711462450593,10.0,3.78685825475,0.0005655820692059379,3.7868582547522824
29,ventral cord neuron WBbt:0005300,6.531225296442688,21.0,3.2153231663,2.1027136151995823e-06,3.215323166303558
