#0hr_muscle_enriched_
,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,pharyngeal muscle cell WBbt:0005451,24.923122529644267,47.0,1.88579901833,0.00019629250117264162,1.8857990183251263
1,copulatory spicule WBbt:0005312,2.747430830039526,8.0,2.91181125018,0.048778023289262396,2.91181125017983
2,smooth muscle WBbt:0005781,27.60513833992095,77.0,2.78933577698,8.835651446952888e-17,2.7893357769791383
3,body wall musculature WBbt:0005813,81.31086956521739,230.0,2.82865010828,5.7622796001133005e-70,2.8286501082800846
4,vulval muscle WBbt:0005821,42.71600790513834,123.0,2.87948256478,4.232977329278552e-30,2.8794825647835
5,muscle cell WBbt:0003675,90.27272727272727,183.0,2.02719033233,2.816911813596868e-27,2.0271903323262843
6,muscle of the reproductive system WBbt:0005786,15.43794466403162,35.0,2.26714117466,4.707556399813221e-05,2.267141174663321
7,egg-laying apparatus WBbt:0008587,91.84268774703557,154.0,1.67678019642,9.948353349187855e-13,1.6767801964176587
8,reproductive system WBbt:0005747,140.8385375494071,182.0,1.29225993941,4.707556399813221e-05,1.292259939408652
9,uterine muscle WBbt:0005342,8.634782608695652,29.0,3.35850956697,4.746147790443601e-08,3.358509566968782
10,intestinal muscle WBbt:0005796,13.017588932806325,34.0,2.61185079476,2.1628347683336753e-06,2.611850794759295
11,anal depressor muscle WBbt:0004292,28.19387351778656,87.0,3.08577677151,2.425110971024994e-22,3.0857767715072795
12,muscular system WBbt:0005737,120.95237154150198,258.0,2.13307103211,1.7892137402794562e-55,2.1330710321084805
13,anal sphincter muscle WBbt:0005798,8.438537549407114,42.0,4.97716574159,1.6695796166647575e-18,4.977165741586455
