#0hr_muscle_enriched_
,Tissue,Expected,Observed,Fold Change,Q value
0,male-specific(WBbt:0005757),12.574594380688563,23.0,1.8290848439073515,0.021221690841708628
1,muscle cell(WBbt:0003675),90.37989711119906,183.0,2.0247865493235255,1.417756800393155e-27
2,smooth muscle(WBbt:0005781),27.637910565888404,77.0,2.786028264200112,3.154288844714091e-17
3,body wall musculature(WBbt:0005813),81.40740007914523,230.0,2.8252959777169067,3.157350181479487e-70
4,vulval muscle(WBbt:0005821),42.76671943015434,123.0,2.876068158580199,2.0381289524757404e-30
5,head muscle(WBbt:0006761),11.592204194697269,23.0,1.9840920340689916,0.00698772544570721
6,anal sphincter muscle(WBbt:0005798),8.448555599525129,42.0,4.97126396402726,5.60665959958698e-19
7,muscular system(WBbt:0005737),121.0959635931935,258.0,2.130541698868826,1.0034955921345141e-55
8,muscle of the reproductive system(WBbt:0005786),15.456272259596359,35.0,2.264452864970045,1.8566810369183027e-05
9,non-striated muscle(WBbt:0005780),81.99683419074,167.0,2.0366639962163258,1.5859321185274178e-24
10,egg-laying apparatus(WBbt:0008587),91.95172140878512,154.0,1.6747919195049106,3.8066619310881674e-13
11,gonadal sheath cell(WBbt:0005828),13.818955282944202,24.0,1.7367448919689008,0.03403227067991834
12,uterine muscle(WBbt:0005342),8.645033636723388,29.0,3.3545271445573555,1.567102837888499e-08
13,body muscle cell(WBbt:0007810),62.0215670755837,145.0,2.3378964259850634,1.1699273126636391e-26
14,hermaphrodite-specific(WBbt:0005758),124.10862683023348,179.0,1.4422849125939625,1.685287386003958e-09
15,anal depressor muscle(WBbt:0004292),28.22734467748318,87.0,3.0821177476675476,8.054392671385387e-23
16,pharyngeal muscle cell(WBbt:0005451),24.95271072417887,47.0,1.883562893006954,8.060255812025517e-05
