"#28 March 2016, C40 injections using clean mini preps",,,,,,
Plate,affected_worms,phenotype,,,,
1,6,d,,,,
2,85,dr,,,,
3,55,dr,,,,
4,12,dr,,,,
5,28,dr,,,,
6,0,,,,,
7,46,dr,,,,
8,0,,,,,
9,8,dr,,,,
10,95,dr,,,,
11,8,d,,,,
12,21,dr,,,,
13,4,d,,,,
14,18,d,,,,
15,0,,,,,
16,0,,,,,
17,0,,,,,
18,19,d,,,,
19,16,d,,,,
