No. Of Annotations,Threshold,Method,No. Of Tissues in Dictionary
25,0.9,any,537
25,0.9,avg,537
25,0.96,any,570
25,0.96,avg,570
25,1.0,any,676
25,1.0,avg,676
50,0.9,any,158
50,0.9,avg,158
50,0.96,any,189
50,0.96,avg,189
50,1.0,any,234
50,1.0,avg,234
100,0.9,any,97
100,0.9,avg,97
100,0.96,any,123
100,0.96,avg,123
100,1.0,any,149
100,1.0,avg,148
