,rpm,DurF,DurB,DurFB,DurS,DistF,DistB,DistFB,SpdF,SpdB,SpdFB,Revs
count,10.0,10.0,10.0,10.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,4.78,6.229,0.984,3.9,0.17,1.388,0.183,0.849,0.199,-0.182,0.196,23.9
std,2.50767710131,3.07832728749,0.366521183259,1.66349030655,0.0,0.946218203634,0.0955742875696,0.530187597826,0.0552670285473,0.0662989860824,0.0573875712444,12.5383855066
min,2.0,2.61,0.43,1.84,0.17,0.33,0.06,0.22,0.13,-0.27,0.12,10.0
25%,3.4,3.92,0.73,2.6425,0.17,0.6775,0.1,0.4325,0.155,-0.245,0.155,17.0
50%,4.4,5.675,1.01,3.715,0.17,1.075,0.175,0.73,0.18,-0.175,0.18,22.0
75%,5.3,7.9175,1.1975,4.8425,0.17,1.9575,0.2625,1.14,0.2425,-0.125,0.24,26.5
max,10.8,12.77,1.5,7.4,0.17,3.31,0.32,1.92,0.29,-0.1,0.29,54.0
