,rpm,DurF,DurB,DurFB,DurS,DistF,DistB,DistFB,SpdF,SpdB,SpdFB,Revs
count,12.0,12.0,12.0,12.0,7.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
mean,3.18333333333,11.0958333333,1.0325,6.38,0.184285714286,1.95666666667,0.26,1.14416666667,0.18,-0.226666666667,0.183333333333,15.9166666667
std,1.50504203102,9.48615685985,0.595561232635,4.51889769342,0.0243975018237,1.29671145829,0.167060141593,0.609716153533,0.0642438536147,0.0931600122305,0.064713822232,7.52521015512
min,0.8,1.62,0.22,1.58,0.17,0.07,0.03,0.07,0.04,-0.33,0.04,4.0
25%,2.15,7.51,0.495,4.5125,0.17,1.305,0.14,0.88,0.1425,-0.3025,0.1425,10.75
50%,3.3,8.035,1.1,4.965,0.17,1.57,0.225,0.97,0.205,-0.25,0.21,16.5
75%,4.5,10.5025,1.41,6.505,0.195,2.1575,0.395,1.235,0.2225,-0.16,0.23,22.5
max,5.2,38.82,1.87,19.52,0.22,4.55,0.58,2.29,0.25,-0.03,0.25,26.0
