Alldata        	  RPM	  Dur(F)	  Dur(B)	  Dur(FB)	  Dur(S)	  Dist(F)	  Dist(B)	  Dist(FB)	  Spd(F)	  Spd(B)	  Spd(FB)	Revs
worm11_N2_6D_11	  1.20	  3.89  	  0.21  	  2.94   	   NaN  	  0.79   	  0.04   	  0.59    	  0.22  	 -0.25  	  0.23   	  6
worm13_N2_6D_13	  0.60	  6.84  	  2.00  	  5.35   	   NaN  	  1.52   	  0.61   	  1.24    	  0.24  	 -0.28  	  0.24   	  3
worm15_N2_6D_15	  0.20	  4.40  	  0.61  	  3.26   	   NaN  	  0.70   	  0.10   	  0.52    	  0.17  	 -0.21  	  0.18   	  1
worm1_N2_6D_1  	  1.80	  3.41  	  0.92  	  2.49   	  0.17  	  0.50   	  0.15   	  0.37    	  0.15  	 -0.20  	  0.16   	  9
worm3_N2_6D_3  	  1.60	  1.67  	  0.71  	  1.25   	  0.17  	  0.30   	  0.14   	  0.23    	  0.17  	 -0.21  	  0.18   	  8
worm5_N2_6D_5  	  1.20	  2.70  	  2.21  	  2.51   	   NaN  	  0.63   	  0.56   	  0.60    	  0.25  	 -0.26  	  0.25   	  6
worm7_N2_6D_7  	  5.80	  2.46  	  0.60  	  1.55   	   NaN  	  0.85   	  0.29   	  0.57    	  0.30  	 -0.43  	  0.32   	 29
worm9_N2_6D_9  	  1.00	  3.44  	  1.00  	  2.53   	   NaN  	  0.60   	  0.24   	  0.47    	  0.18  	 -0.24  	  0.19   	  5
