Alldata      	  RPM	  Dur(F)	  Dur(B)	  Dur(FB)	  Dur(S)	  Dist(F)	  Dist(B)	  Dist(FB)	  Spd(F)	  Spd(B)	  Spd(FB)	Revs
worm1_fog-2_1	  3.50	  2.98  	  1.43  	  2.31   	  0.13  	  1.01   	  0.49   	  0.78    	  0.34  	 -0.34  	  0.34   	 14
worm2_fog-2_2	  5.00	  4.07  	  1.64  	  2.93   	  0.13  	  1.17   	  0.50   	  0.86    	  0.28  	 -0.28  	  0.28   	 20
worm3_fog-2_3	  3.50	  4.88  	  0.90  	  3.00   	   NaN  	  1.81   	  0.34   	  1.11    	  0.36  	 -0.42  	  0.37   	 14
worm4_fog-2_4	  5.50	  5.49  	  1.15  	  3.35   	   NaN  	  1.69   	  0.40   	  1.05    	  0.29  	 -0.33  	  0.30   	 22
worm5_fog-2_5	  5.25	  5.61  	  1.39  	  3.63   	   NaN  	  1.82   	  0.55   	  1.22    	  0.32  	 -0.38  	  0.33   	 21
worm6_fog-2_6	  4.75	  4.51  	  1.23  	  3.14   	  0.15  	  1.10   	  0.35   	  0.79    	  0.23  	 -0.24  	  0.23   	 19
worm7_fog-2_7	  3.25	  8.15  	  2.30  	  5.46   	  0.13  	  2.57   	  0.74   	  1.73    	  0.31  	 -0.35  	  0.32   	 13
worm8_fog-2_8	  7.25	  1.73  	  0.81  	  1.11   	  0.14  	  0.39   	  0.07   	  0.17    	  0.18  	 -0.07  	  0.13   	 29
