P0_Number;Day1;Day2;Day3
5;0;1;0
6;0;1;1
7;0;2;2
9;0;3;1
11;2;0;0
14;3;0;0
15;0;1;3
18;0;1;0
22;1;0;0
30;0;2;0
35;1;0;0
36;1;1;0
38;5;0;0
33;0;0;2
